premise,hypothesis,label,neg_premises,neg_premise_lemma,premise_neg_count,premise_has_neg,neg_hypothesis,neg_hypothesis_lemma,hypothesis_neg_count,hypothesis_has_neg
Um indivíduo está temerariamente conduzindo um automóvel,O indivíduo está ouvindo música enquanto dirige.,0,[],[],0,False,[],[],0,False
Uma imagem dela mesma e de outra mulher está sendo capturada pela senhora,A senhora está segurando uma câmera profissional,0,[],[],0,False,[],[],0,False
Uma mulher está sorrindo em uma cidade à beira do rio,A mulher está chorando na montanha.,0,[],[],0,False,[],[],0,False
A região foi severamente danificada pelo rompimento de uma barragem,A barragem rompeu e causou danos severos na região.,1,[],[],0,False,[],[],0,False
Há uma fila na agência bancária,A agência bancária está vazia,0,[],[],0,False,[],[],0,False
A estampa azul é o detalhe principal do jogo de lençol,A cor azul é o elemento mais distintivo do jogo de lençol,1,[],[],0,False,[],[],0,False
Um filhotinho de cachorro está mostrando sinais de impaciência,O filhotinho de cachorro tem pelos macios.,0,['impaciência'],['impaciência'],1,True,[],[],0,False
Uma mulher está fazendo música com duas guitarras,Nenhuma mulher está fazendo música,0,[],[],0,False,['Nenhuma'],['nenhum'],1,True
"Uma senhora e uma criança estão de mãos dadas em frente à oca, sobre um chão de terra",A senhora e a criança estão em um moderno apartamento na cidade,0,[],[],0,False,[],[],0,False
Um pote de barro contendo tremoços está posicionado sobre um azulejo decorativo com borda de madeira,Um pote de barro com tremoços está colocado sobre um suporte com borda de madeira,1,[],[],0,False,[],[],0,False
A mulher de cabelos longos não está esperando na estação de ônibus,Uma mulher de cabelos longos está caminhando pela cidade.,0,['não'],['não'],1,True,[],[],0,False
Uma máquina está realizando a limpeza da areia,A máquina funciona a base de energia elétrica,0,[],[],0,False,[],[],0,False
A bola de beisebol está sendo lançada no estádio.,A bola de beisebol está em movimento,1,[],[],0,False,[],[],0,False
O gato está caçando o rato,O gato tem pelo branco e preto,0,[],[],0,False,[],[],0,False
O inventário e a regularização de bens imóveis são requisitos necessários para a continuação de uma ação envolvendo casas de papel,É necessário concluir o inventário e a regularização de propriedades para prosseguir com uma ação que envolve casas de papel.,1,['imóveis'],['imóvel'],1,True,[],[],0,False
Um ipê-amarelo em flor sob um céu nublado,O ipê-amarelo tem uma aparência impressionante sob um céu nublado,0,[],[],0,False,[],[],0,False
Uma menina está sentada à mesa escrevendo em alguns cadernos,A menina está ocupada escrevendo em seus cadernos à mesa,1,[],[],0,False,[],[],0,False
Um menino está brincando em um parque infantil,O menino está em casa estudando.,0,[],[],0,False,[],[],0,False
Várias pessoas estão percorrendo a floresta que é bela e coberta de folhas outonais,As pessoas estão caminhando em uma praia ensolarada.,0,[],[],0,False,[],[],0,False
Um ex-combatente está exibindo diversos artefatos de uma batalha para um grupo de estudantes,O veterano de guerra está mostrando vários itens de uma batalha para um conjunto de alunos,1,[],[],0,False,[],[],0,False
Minha esposa negra está sendo promovida em um anúncio para a transmissão ao vivo de amanhã,Minha esposa não está envolvida em nenhum anúncio.,0,[],[],0,False,"['não', 'nenhum']","['não', 'nenhum']",2,True
A mulher está olhando a muito tempo para o oceano,A mulher está observando o oceano,1,[],[],0,False,[],[],0,False
Uma garotinha observa atentamente um grupo de amigos jogando frisbee no parque,A menina não está prestando atenção em um jogo,0,[],[],0,False,['não'],['não'],1,True
Uma criança desfavorecida compartilha seu biscoito com seu filhote de cachorro,A criança desfavorecida tem um gato.,0,['desfavorecida'],['desfavorecer'],1,True,['desfavorecida'],['desfavorecer'],1,True
A biblioteca tem uma grande mesa central sobre a qual estão livros empilhados e uma estante ao fundo,A estante na biblioteca está vazia,0,[],[],0,False,[],[],0,False
Costureiras estão engajadas na produção de máscaras,As costureiras estão confeccionando vestidos.,0,[],[],0,False,[],[],0,False
A mulher está recusando uma coletiva de imprensa,A mulher está comendo um sanduíche,0,['recusando'],['recusar'],1,True,[],[],0,False
O gato está dormindo.,O gato tem pelo preto.,0,[],[],0,False,[],[],0,False
A mulher está assistindo televisão,A mulher está lendo um livro,0,[],[],0,False,[],[],0,False
Uma mulher grávida exibe sua barriga saudável,A mulher grávida está usando uma blusa azul,0,[],[],0,False,[],[],0,False
Uma cômoda verde é adornada com flores brancas e docinhos,A cômoda não tem nenhum adorno.,0,[],[],0,False,"['não', 'nenhum']","['não', 'nenhum']",2,True
Um ciclista está parado ao lado da ciclovia sem um colete reflexivo,O ciclista está usando um colete reflexivo,0,['sem'],['sem'],1,True,[],[],0,False
Um gato está perseguindo algo no jardim,O gato está dormindo dentro de casa,0,[],[],0,False,[],[],0,False
Uma criança alegre está brincando no parque,Uma criança está no parque.,1,[],[],0,False,[],[],0,False
Os pisos estão sendo encerados por uma mulher,A mulher está usando luvas para encerar os pisos.,0,[],[],0,False,[],[],0,False
Uma gatinha de pelagem negra está usando uma bandana de crochê feita em lã rosa e branca,A gatinha está dormindo no sofá,0,[],[],0,False,[],[],0,False
Uma mulher está posicionada no cume da montanha com o céu estrelado como pano de fundo,A mulher está no vale da montanha,0,[],[],0,False,[],[],0,False
Uma cena do filme principal é mostrada no trailer,O trailer não apresenta nenhuma cena do filme principal.,0,[],[],0,False,"['não', 'nenhuma']","['não', 'nenhum']",2,True
A mulher de vestido vermelho está cantando jazz no microfone,Uma apresentação de música está sendo realizada por uma mulher.,1,[],[],0,False,[],[],0,False
Uma mulher branca vestindo uma blusa azul exibe um sorriso surpreso,Uma mulher de blusa azul está surpresa.,1,[],[],0,False,[],[],0,False
A campanha para testagem de HIV e sífilis é deve ser feita periodicamente,A testagem de HIV e sífilis deve ser realizada de forma rotineira,1,[],[],0,False,[],[],0,False
Equipamentos de segurança estão sendo utilizados por uma equipe de indivíduos que está realizando treinamento de resgate em altura,O grupo de pessoas está realizando um exercício de salvamento vertical com o uso de proteções adequadas,1,[],[],0,False,[],[],0,False
O garoto gosta de correr no parque.,O garoto está se exercitando.,1,[],[],0,False,[],[],0,False
Uma mão feminina segura uma tigela de açaí,A tigela de açaí é grande,0,[],[],0,False,[],[],0,False
Uma equipe de uniforme laranja está recolhendo faixas de postes e árvores,Os trabalhadores não estão tocando em faixas ou cartazes.,0,[],[],0,False,['não'],['não'],1,True
Uma mulher está executando uma acrobacia de skate em pleno vôo,Uma mulher está no ar fazendo uma acrobacia de skate,1,[],[],0,False,[],[],0,False
Um filhote de girafa não está mastigando uma flor delicada,O filhote de girafa está perto de um arbusto.,0,['não'],['não'],1,True,[],[],0,False
Uma mulher toca violino em uma orquestra sinfônica,A mulher está dançando em um grupo de ballet,0,[],[],0,False,[],[],0,False
Os folders estão fornecendo ilustrações e orientações para conscientizar a população durante a pandemia do novo coronavírus,Os folders estão sendo distribuídos online,0,[],[],0,False,[],[],0,False
Visitantes são fotografados com as obras de arte que criaram na oficina,As obras de arte criadas pelos visitantes na oficina são vendidas em um leilão.,0,[],[],0,False,[],[],0,False
Uma pesquisa indica que o consumo de vinho pode contribuir para o combate às rugas e manutenção da jovialidade da pele,A venda de vinho aumentou.,0,[],[],0,False,[],[],0,False
Uma modelo branca de cabelos loiros está posando com um suéter roxo e saia jeans,A modelo não está vestindo um suéter roxo e saia jeans,0,[],[],0,False,['não'],['não'],1,True
Uma menina branca e loira está sentada em uma cadeira na loja,A menina tem um ursinho de pelúcia na mão,0,[],[],0,False,[],[],0,False
Uma fagulha é produzida durante a remoção de um cabo energizado,A fagulha pode iniciar um incêndio se houver material inflamável próximo.,0,[],[],0,False,[],[],0,False
Um marinheiro está sorrindo para um mergulhador,O mergulhador não vê o sorriso do marinheiro.,0,[],[],0,False,['não'],['não'],1,True
O anúncio divulga vagas para vigilantes em um show,O anúncio é sobre um show de rock,0,[],[],0,False,[],[],0,False
Os nadadores participam de treinos diários,Os nadadores estão se exercitando todos os dias,1,[],[],0,False,[],[],0,False
Há pessoas próximas a um tronco de árvore no chão.,Há pessoas perto de um objeto de madeira no chão.,1,[],[],0,False,[],[],0,False
"Duas almofadas estão presentes, uma branca e a outra com uma estampa de onça pintada",Há uma almofada com estampa de onça pintada.,1,[],[],0,False,[],[],0,False
O homem com um casaco azul está usando luvas de inverno,O homem com um casaco azul está segurando um guarda-chuva vermelho,0,[],[],0,False,[],[],0,False
"Quatro indivíduos estão em um pico nevado, usando uma luneta para observar a paisagem",Há pessoas no topo de uma montanha coberta de neve.,1,[],[],0,False,[],[],0,False
O homem está se preparando para uma entrevista de emprego,O homem está se preparando para ir à praia,0,[],[],0,False,[],[],0,False
Uma mulher está segurando uma taça de espumante diante de um campo de lavanda,Uma mulher está comemorando um brinde em um campo de lavanda.,0,[],[],0,False,[],[],0,False
"Um grupo nordestino está tocando instrumentos tradicionais, incluindo sanfona, pandeiro, zabumba e triângulo",O grupo nordestino está usando roupas típicas do Nordeste enquanto toca,0,[],[],0,False,[],[],0,False
Um imenso gato preto não está pulando sobre os muros no quintal,Não há um gato preto grande pulando sobre os muros do quintal,1,['não'],['não'],1,True,['Não'],['não'],1,True
A mulher está usando uma mangueira para regar o jardim.,O cão da mulher está se deitando à sombra.,0,[],[],0,False,[],[],0,False
Os adolescentes estão exibindo suas pranchas de skate no asfalto cinzento de um parque urbano,Os adolescentes estão vestindo tênis vermelhos.,0,[],[],0,False,[],[],0,False
"Uma mulher está de pé, solidamente, ao lado da janela",A mulher está de pé perto da janela,1,[],[],0,False,[],[],0,False
O funcionário confere a carga recebida com a lista de produtos solicitados,O funcionário está verificando se todos os produtos solicitados foram entregues,1,[],[],0,False,[],[],0,False
A estampa azul é o detalhe principal do jogo de lençol,A estampa vermelha é a característica principal do jogo de lençol,0,[],[],0,False,[],[],0,False
Pernas femininas vestidas em meia arrastão e de salto alto aparecem numa foto promocional de sapatos,Os sapatos promovidos são para mulheres.,1,[],[],0,False,[],[],0,False
Uma pesquisa indica que dormir menos pode tornar as pessoas menos atraentes,As pessoas que dormem mais se sentem mais descansadas.,0,[],[],0,False,[],[],0,False
O gato está correndo na floresta,Há um gato se movimentando rapidamente na floresta,1,[],[],0,False,[],[],0,False
"Crianças são observadas durante atividades e brincadeiras envolvendo números, quantidades e pesos",As crianças estão aprendendo sobre ciências.,0,[],[],0,False,[],[],0,False
