sentence_pair_id,premise,hypothesis,relatedness_score,entailment_judgment,neg_premises,neg_premise_lemma,premise_has_neg,neg_hypothesis,neg_hypothesis_lemma,hypothesis_has_neg
1,Uma criança risonha está segurando uma pistola de água e sendo espirrada com água,Uma criança está segurando uma pistola de água,4.5,1,[],[],0,[],[],0
2,Os homens estão cuidadosamente colocando as malas no porta-malas de um carro,Os homens estão colocando bagagens dentro do porta-malas de um carro,4.5,1,[],[],0,[],[],0
3,Uma pessoa tem cabelo loiro e esvoaçante e está tocando violão,Um guitarrista tem cabelo loiro e esvoaçante,4.7,1,[],[],0,[],[],0
4,Batatas estão sendo fatiadas por um homem,O homem está fatiando a batata,4.7,1,[],[],0,[],[],0
5,Um caminhão está descendo rapidamente um morro,Um caminhão está rapidamente descendo o morro,4.9,1,[],[],0,[],[],0
6,Um surfista está pegando uma grande onda através da água verde escura,Uma onda grande está sendo surfada por um surfista através da água verde escura,4.8,1,[],[],0,[],[],0
7,Três cachorros pequeninos estão cheirando algo,Três cachorros estão cheirando alguma coisa,4.6,1,[],[],0,[],[],0
8,Alguns adultos estão sentados nas cadeiras e estão observando o oceano,Dois adultos estão sentados em cadeiras e estão observando o oceano,4.7,1,[],[],0,[],[],0
9,"A gruta com interior rosa está sendo escalada por quatro crianças do Oriente Médio, três meninas e um menino","Quatro crianças do Oriente Médio, três meninas e um menino, estão subindo na gruta com um interior rosa",4.9,1,[],[],0,[],[],0
10,O homem com um chapéu duro está dançando,Um homem com um chapéu duro está dançando,4.9,1,[],[],0,[],[],0
11,Um menino e uma menina estão brincando do lado de fora da academia,O menino e a menina estão brincando na academia ao ar livre,5.0,1,[],[],0,[],[],0
12,Um jovem casal está dormindo na cama,Um jovem casal está deitado na cama,4.3,1,[],[],0,[],[],0
13,O monte de homens está jogando rúgbi em um campo cheio de lama,O grupo de homens está jogando rúgbi em um monte enlameado,4.8,1,[],[],0,[],[],0
14,A batata está sendo descascada por uma mulher,Uma mulher está descascando a batata,4.9,1,[],[],0,[],[],0
15,Um homem está de pé em um morro de terra próximo a um jipe preto,Um homem está parado em um morro de terra ao lado de um carro preto,4.3,1,[],[],0,[],[],0
16,"Um homem em uma camisa tingida de roxo está se afastando de um homem com uma camisa preta, que está sério",Um homem em uma camisa tingida de roxo está olhando para o homem de camisa preta que está fazendo uma cara engraçada,3.4,1,[],[],0,[],[],0
17,A menina está passando maquiagem em sua face,Uma menina está aplicando maquiagem em seu rosto,4.9,1,[],[],0,[],[],0
18,Um homem está picando um tronco com um machado,Um homem está cortando um tronco com um machado,4.9,1,[],[],0,[],[],0
19,O homem está rachando ovos em uma tigela,A pessoa está quebrando ovos em uma tigela,4.5,1,[],[],0,[],[],0
20,Uma criança jovem está usando botas feitas de borracha verde e está brincando em uma poça de lama,Uma criança jovem está usando botas verdes e brincando em uma poça cheia de lama,4.6,1,[],[],0,[],[],0
21,A pista de patinação no gelo colocada ao ar livre está cheia de pessoas,Muitas pessoas estão em um parque de patinação no gelo,4.2,1,[],[],0,[],[],0
