premise,hypothesis,label,negation_type
"O longa Steve Jobs tem estreia prevista para o ano de 2016, no dia 21 de janeiro.",Steve Jobs não estreia no dia 23 de janeiro nos EUA.,1,syn
Foi o pior resultado para meses de julho desde 1992.,O resultado não é o pior para julho em todos os anos.,1,syn
"Haverá sobras das frequências de 1,8 GHz, 2,5 GHz e 3,5 GHz.","Não será vendida toda a faixa de 1,8 GHz.",1,syn
"Com isso o destaque do Brasil foi o atacante Adriano que, com sete gols, obteve a artilharia.",O atacante Ronaldo não foi o artilheiro da competição.,1,syn
"Com um jogador a mais no segundo tempo, o Chelsea construiu a vitória.","Com um jogador a mais no segundo tempo, o Chelsea não teve dificuldades para vencer.",1,syn
O Steven diz que essa nova temporada é uma espécie de The Knick 2.0.,"Não estão a chegar os novos episódios de “The Knick”, mas sim uma nova série que lembra “The Knick” segundo Steven.",1,syn
"O treinador tem a chance de voltar ao São Paulo, clube que o revelou para o futebol mundial.",O treinador não é o técnico atual do clube que o revelou.,1,syn
"É a quarta Apple TV, mas é a primeira “bem feita”.",A nova Apple TV não estava bem feita anteriormente.,1,syn
"Uma pessoa ficou ferida em terra, de acordo com o Corpo de Bombeiros.","Uma pessoa ferida não estava dentro da casa no momento do acidente, segundo os bombeiros.",1,syn
É importante destacar que realidade aumentada não é a mesma coisa que realidade virtual.,Realidade aumentada não é nada semelhante à realidade virtual.,1,syn
"O meu golo surgiu numa grande jogada do Brahimi, mas penso que também fiz um bom remate.","A jogada do Brahimi não terminou no seu próprio remate, mas sim em um golo.",1,syn
O longa é dirigido por Ridley Scott e protagonizado por Matt Damon.,"Dirigido por Ridley Scott, o filme 'O Resgate do Soldado Ryan' não é protagonizado por Matt Damon.",1,syn
"Após esse período, as chamadas com 8 dígitos não serão mais completadas.",As chamadas com oito dígitos nunca serão mais completadas após esse período.,1,syn
"A socialite Kim Kardashian, esposa de Kanye West, não abre mão dos vestidos colados e decotados.",A socialite Kim Kardashian não abre mão de usar vestidos colados e decotados em eventos de Natal.,1,syn
Jennifer contou para Justin em um jantar e fez surpresa.,Jennifer e Justin não fizeram nada oficialmente público sobre o estado civil recente.,1,syn
"Este não parece ser um cenário admitido pelo CEO da Apple, Tim Cook, em entrevista ao Wall Street Journal.",Nada foi mencionado por Tim Cook numa conferência organizada pelo Wall Street Journal.,1,syn
"Ele seria apresentado na madrugada desta quinta-feira, mas só assumirá o time no próximo ano.","Ele não assumiria a equipe imediatamente, sendo indicado apenas para o próximo ano.",1,syn
Françoise Olcay é cônsul honorária na Turquia desde Outubro de 2014.,Nenhuma suspensão de Françoise Olcay como cônsul honorária da França na Turquia ocorreu desde Outubro de 2014 devido a qualquer escândalo relacionado.,1,syn
"Para tentar trazer a inflação para a meta, o BC elevou a Selic por sete vezes seguidas.",O BC não afirma que elevar a Selic sete vezes já é uma demonstração de seu impacto imediato na inflação.,1,syn
O furacão está a gerar ventos a velocidades de 320 quilómetros por hora.,Os meteorologistas não afirmam que o furacão não está a causar ventos superiores a 300 quilómetros por hora.,1,syn
"José Aldo Rebelo Figueiredo nasceu em Viçosa (Alagoas), em 23 de fevereiro de 1956.",José Aldo Rebelo Figueiredo nunca nasceu fora do Brasil.,1,syn
"A Capcom ainda não revelou o lutador oficialmente, mas há um trailer disponível.",A Capcom ainda não apresentou o elenco completo de lutadores para o lançamento.,1,syn
"Sobre as duas outras marcas, a Audi e a Skoda, o comunicado é omisso.",Não são mencionados veículos da Audi e Skoda.,1,syn
A população poderá consultar a pressão arterial e fazer teste de glicemia das 10h às 22h.,A população não poderá consultar a pressão arterial e fazer teste de glicemia antes das 10h ou após as 22h.,1,syn
O Halu foi descrito por Alberto Méndez como sendo “um computador com um foco”.,Nada no contexto fornecido sugere que o Roni foi descrito por Alberto Méndez.,1,syn
